委托单编号,装点,装点经度,装点纬度,卸点,卸点经度,卸点纬度,货物类型,运量,起始日期,截止日期,单价（元/吨或元/车）
WTD202201060154,边贾线东达煤矿,110.350493,39.415387,金伯世家,118.926975,40.412204,煤炭,100000,2022-01-06T17:50:00.000+08:00,2022-12-31T00:00:00.000+08:00,310
WTD202201070219,五升梁.东达煤矿,110.475959,39.416912,府前花园,116.247973,40.202119,煤炭,99999,2022-01-05T00:00:00.000+08:00,2022-12-31T00:00:00.000+08:00,310
WTD202201070218,五升梁.东达煤矿,110.475959,39.416912,府前花园,116.247973,40.202119,煤炭,99999,2022-01-05T00:00:00.000+08:00,2022-12-31T00:00:00.000+08:00,300
WTD202201060006,五升梁.东达煤矿,110.475959,39.416912,府前花园,116.247973,40.202119,煤炭,99999,2022-01-05T00:00:00.000+08:00,2022-12-31T00:00:00.000+08:00,290
WTD202201050088,五升梁.东达煤矿,110.475959,39.416912,府前花园,116.247973,40.202119,煤炭,99999,2022-01-05T00:00:00.000+08:00,2022-12-31T00:00:00.000+08:00,260
WTD202201050087,五升梁.东达煤矿,110.475959,39.416912,府前花园,116.247973,40.202119,煤炭,99999,2022-01-05T00:00:00.000+08:00,2022-12-31T00:00:00.000+08:00,250
WTD202202190070,边贾线布尔洞煤矿,110.350493,39.415387,沙圪堵镇府谷古城集运有限公司,109.811088,39.930931,原煤,999999,2022-02-19T00:00:00.000+08:00,2022-06-30T00:00:00.000+08:00,60
WTD202111210018,昶通煤厂,116.583808,39.910688,西北能源化工,116.248167,40.157182,粉煤,150000,2021-11-21T00:00:00.000+08:00,2022-06-30T23:59:59.000+08:00,89.97
WTD202202240247,蛾狼翅峁罐子沟煤矿,111.303562,39.554466,博泰航力马场壕洁净煤集装站,116.248167,40.157182,5号洗煤,999999,2022-02-16T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,120
WTD202202170061,蛾狼翅峁罐子沟煤矿,111.303562,39.554466,明华集团(新东二环东),116.659799,39.915601,5号洗煤,999999,2022-02-16T00:00:00.000+08:00,2022-12-31T00:00:00.000+08:00,90
WTD202202270058,白家塔,116.544607,39.928435,国怀精煤有限公司,116.659799,39.915601,粉煤,999999,2022-02-23T00:00:00.000+08:00,2022-09-30T00:00:00.000+08:00,170
WTD202202220130,纳林陶亥镇,110.27025,39.469179,天津琦晟储运有限公司,117.569995,38.949487,煤炭,3000,2022-02-22T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,315
WTD202202130032,乌兰木伦庙,110.117735,39.429565,天津琦晟储运有限公司,117.569995,38.949487,煤炭,5000,2022-02-13T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,280
WTD202202220156,伊金霍洛旗阿新线,109.919582,39.488581,天津琦晟储运有限公司,117.569995,38.949487,煤炭,3000,2022-02-22T18:43:00.000+08:00,2022-03-31T23:00:00.000+08:00,290
WTD202201110062,鑫益源煤厂,116.230449,39.845148,城郊办事处团结屯,116.409836,39.98491,煤,500000,2022-01-11T00:00:00.000+08:00,2022-12-31T00:00:00.000+08:00,340
WTD202202270052,准格尔旗鑫益源煤炭运销有限责任公司,110.568295,39.526745,黑龙坝镇,120.928437,43.556173,煤,100000,2022-02-27T00:00:00.000+08:00,2023-01-01T00:00:00.000+08:00,340
WTD202201100143,准格尔旗鑫益源煤炭运销有限责任公司,110.568295,39.526745,好力歹奶牛小区,120.928437,43.556173,煤,50000,2021-12-31T00:00:00.000+08:00,2023-01-01T00:00:00.000+08:00,290
WTD202201100142,准格尔旗鑫益源煤炭运销有限责任公司,110.568295,39.526745,双胜派出所,116.455854,39.892757,煤,50000,2021-12-31T00:00:00.000+08:00,2023-01-01T00:00:00.000+08:00,270
WTD202201100139,准格尔旗鑫益源煤炭运销有限责任公司,110.568295,39.526745,太平地村,118.244133,41.848847,煤,50000,2021-12-31T00:00:00.000+08:00,2023-01-01T00:00:00.000+08:00,240
WTD202201100138,准格尔旗鑫益源煤炭运销有限责任公司,110.568295,39.526745,太平地村,118.244133,41.848847,煤,500000,2021-12-31T00:00:00.000+08:00,2023-01-01T00:00:00.000+08:00,240
WTD202201100137,准格尔旗鑫益源煤炭运销有限责任公司,110.568295,39.526745,太平地村,118.244133,41.848847,煤,50000,2021-12-31T00:00:00.000+08:00,2023-01-01T00:00:00.000+08:00,240
WTD202201100136,准格尔旗鑫益源煤炭运销有限责任公司,110.568295,39.526745,双胜派出所,116.455854,39.892757,煤,500000,2021-12-31T00:00:00.000+08:00,2023-01-01T00:00:00.000+08:00,270
WTD202201030040,滨海新区东环路与红旗路交叉口,117.746853,38.990737,包钢耐火门岗,109.769278,40.666474,钢架子,10000,2022-01-03T14:23:00.000+08:00,2022-12-31T09:00:00.000+08:00,5000
WTD202201110086,廉家海子,110.164601,39.487228,巴图塔站台,110.084808,39.483933,粉煤,100000,2022-01-11T00:00:00.000+08:00,2022-06-09T00:00:00.000+08:00,24
WTD202202270038,准格尔旗曹羊县沙墕,110.580333,39.555819,刘牛圪旦,110.387295,40.527884,煤炭,30000,2022-02-27T10:44:00.000+08:00,2022-12-31T23:10:00.000+08:00,100
WTD202202270070,曹羊复线致富煤矿,110.545796,39.668672,毛家皂镇里八庄站,113.190644,39.900567,原煤,999999,2022-02-27T00:00:00.000+08:00,2022-06-30T00:00:00.000+08:00,165
WTD202202270056,曹羊复线西乌素煤矿,110.545796,39.668672,沙圪堵镇府谷古城集运有限公司,109.811088,39.930931,原煤,999999,2022-02-20T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,55
WTD202201260112,曹羊复线附近,110.545796,39.668672,好力歹奶牛小区,109.811088,39.930931,煤,100000,2022-01-26T00:00:00.000+08:00,2022-12-31T23:59:00.000+08:00,350
WTD202201060007,兖矿集团鄂尔多斯能化转龙湾煤炭有限公司,110.116773,39.574177,府前花园,116.247973,40.202119,煤炭,99999,2022-01-05T00:00:00.000+08:00,2022-12-31T00:00:00.000+08:00,290
WTD202201050090,兖矿集团鄂尔多斯能化转龙湾煤炭有限公司,110.116773,39.574177,府前花园,116.247973,40.202119,煤炭,99999,2022-01-05T00:00:00.000+08:00,2022-12-31T00:00:00.000+08:00,260
WTD202201050089,兖矿集团鄂尔多斯能化转龙湾煤炭有限公司,110.116773,39.574177,府前花园,116.247973,40.202119,煤炭,99999,2022-01-05T00:00:00.000+08:00,2022-12-31T00:00:00.000+08:00,250
WTD202202220146,刘家渠,110.046005,39.839473,巴图塔站,110.084808,39.483933,原煤,999999,2022-02-22T15:44:00.000+08:00,2022-12-31T00:00:00.000+08:00,40
WTD202201060055,萝卜梁,110.046005,39.839473,金伯世家,118.926975,40.412204,煤炭,100000,2022-01-06T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,310
