委托单编号,装点,装点经度,装点纬度,卸点,卸点经度,卸点纬度,货物类型,运量,起始日期,截止日期,单价（元/吨或元/车）
WTD202202090072,鑫港源顺物流园,109.776093,40.702721,乌达工业园区,106.726891,39.472794,钢材,2000,2022-02-09T09:51:00.000+08:00,2022-12-19T00:00:00.000+08:00,120
WTD202202080085,鑫港源顺物流园,109.776093,40.702721,嘉峪关不锈钢工业园区,98.252028,39.834352,钢材,2000,2022-02-08T14:01:00.000+08:00,2022-12-09T00:00:00.000+08:00,400
WTD202202280129,华蒙物流园,109.758835,40.700198,蒙西双星环保办公楼,116.410753,39.972265,钢材,1000,2022-02-16T00:00:00.000+08:00,2022-12-17T23:59:59.000+08:00,100
WTD202202180224,华蒙物流园区,116.16494,39.69272,内蒙古蒙鑫钢结构工程有限公司,116.6468,39.807393,钢材,1000,2022-02-18T18:57:00.000+08:00,2022-12-22T00:00:00.000+08:00,100
WTD202202170097,华蒙物流园区,116.16494,39.69272,红庆梁,109.528167,40.096013,钢材,1000,2022-02-17T19:05:00.000+08:00,2022-12-18T00:00:00.000+08:00,50
WTD202202160118,华蒙物流园,109.758835,40.700198,民乐县志达彩钢,100.670873,38.702476,钢材,1000,2022-02-16T16:56:00.000+08:00,2022-11-17T00:00:00.000+08:00,180
WTD202202160088,华蒙物流园,109.758835,40.700198,蒙西双星环保办公楼,116.410753,39.972265,钢材,1000,2022-02-16T13:48:00.000+08:00,2022-12-17T00:00:00.000+08:00,85
WTD202202140071,华蒙物流园,109.758835,40.700198,山丹县,101.088611,38.7846,钢材,1000,2022-02-14T14:43:00.000+08:00,2022-11-15T00:00:00.000+08:00,185
WTD202201120093,华蒙物流园,109.758835,40.700198,萨拉齐,110.505359,40.547564,钢材,1000,2022-01-12T00:00:00.000+08:00,2022-12-13T23:59:59.000+08:00,70
WTD202201110143,华蒙物流园,109.758835,40.700198,山丹县,101.088611,38.7846,钢材,10000,2022-01-11T16:58:00.000+08:00,2022-12-12T00:00:00.000+08:00,180
WTD202201040122,华蒙物流园,109.758835,40.700198,三星建材城,111.990828,43.636856,钢材,1000,2022-01-04T12:16:00.000+08:00,2022-12-14T00:00:00.000+08:00,200
WTD202202140002,九原区阿嘎如泰苏木柏书沟嘎查东柏书沟东300米处,109.623592,40.679654,西来峰工业园区,106.907399,39.381066,重介粉（铁粉）,5000,2022-02-14T08:31:00.000+08:00,2022-12-31T00:00:00.000+08:00,75
WTD202111060001,九原区阿嘎如泰苏木柏书沟嘎查东柏书沟东300米处,109.623592,40.679654,西来峰工业园区,106.907399,39.381066,重介粉（铁粉）,2000,2021-11-06T00:00:00.000+08:00,2022-11-06T23:59:59.000+08:00,80
WTD202110280029,九原区阿嘎如泰苏木柏书沟嘎查东柏书沟东300米处,109.623592,40.679654,西来峰工业园区,106.907399,39.381066,重介粉（铁粉）,2000,2021-10-28T00:00:00.000+08:00,2022-10-28T23:59:59.000+08:00,85
WTD202202280017,阿拉善盟欣和科技有限公司,105.796484,39.74177,骆驼山隆昌矿业,116.672504,40.418952,抑尘剂,9999,2022-02-28T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,155.1
WTD202202280016,阿拉善盟欣和科技有限公司,105.796484,39.74177,南通纳源广汇项目部,121.72909,31.92776,抑尘剂,99999,2022-02-28T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,155.1
WTD202202280015,阿拉善盟欣和科技有限公司,105.796484,39.74177,鄂尔多斯市蒙泰骆驼山煤业有限责任公司,110.080928,39.879948,抑尘剂,99999,2022-02-28T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,155.1
WTD202202280014,阿拉善盟欣和科技有限公司,105.796484,39.74177,乌海市海渤湾区骆驼山久丰煤矿,106.940518,39.541789,抑尘剂,9999,2022-02-28T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,155.1
WTD202202280013,阿拉善盟欣和科技有限公司,105.796484,39.74177,鄂尔多斯棋盘井蒙西煤矿,107.105815,39.363029,抑尘剂,9999,2022-02-14T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,155.1
WTD202202220135,耶苏堂,116.316857,39.86173,包钢干熄焦2号,109.745511,40.649637,矿石,200000,2022-02-22T13:59:00.000+08:00,2022-12-31T00:00:00.000+08:00,36.74
WTD202110270008,青山镇工业园区,116.624829,39.831626,西来峰工业园区,106.907399,39.381066,重介粉（铁粉）,2000,2021-10-27T00:00:00.000+08:00,2022-10-27T23:59:59.000+08:00,55
WTD202109260001,青山镇工业园区,116.624829,39.831626,西来峰工业园区,106.907399,39.381066,重介粉（铁粉）,5000,2021-09-26T00:00:00.000+08:00,2022-09-26T23:59:59.000+08:00,40
WTD202202190066,三利货站,116.44463,39.92054,莱州文峰物流城,119.953941,37.149268,钢材,500,2022-02-19T18:04:00.000+08:00,2022-04-20T00:00:00.000+08:00,120
WTD202112240191,三星建材城,111.990828,43.636856,华蒙物流园,109.758835,40.700198,钢材,1000,2021-12-24T18:49:00.000+08:00,2022-12-25T00:00:00.000+08:00,120
WTD202202230081,林西下场村,118.485995,43.315028,西乌珠穆沁旗吉仁高勒镇白音乌拉村五间房路,116.683215,44.598872,石灰石,100000,2021-12-07T00:00:00.000+08:00,2022-12-07T00:00:00.000+08:00,55
WTD202202230080,林西下场村,118.485995,43.315028,锡盟交通物流指挥中心安快集团北物流园,116.046099,43.990506,石灰石,100000,2021-12-07T00:00:00.000+08:00,2022-12-07T00:00:00.000+08:00,30
WTD202202200042,曹羊复线附近,110.545796,39.668672,城郊办事处团结屯,116.409836,39.98491,煤,50000,2022-01-05T00:00:00.000+08:00,2022-12-30T23:59:59.000+08:00,350
WTD202201140242,广汇矿业白石湖露天煤矿东部工业区广场,94.73693,43.938594,策克口岸监管区,101.279565,42.583569,煤炭,100000,2022-01-14T21:20:00.000+08:00,2022-12-15T00:00:00.000+08:00,400
WTD202112190029,伊吾广汇矿业白石湖露天煤矿东部工业区广场,94.73693,43.938594,策克口岸监管区,101.279565,42.583569,煤炭,100000,2021-12-19T22:15:00.000+08:00,2022-12-20T00:00:00.000+08:00,400
WTD202202250098,淖毛湖矿区疆纳煤矿,94.981191,43.751097,毛家皂镇里八庄站,113.190644,39.900567,粉煤,999999,2022-02-23T00:00:00.000+08:00,2022-09-30T00:00:00.000+08:00,450
WTD202202240346,中联润世新疆煤业有限公司,90.359955,44.506065,大城西煤炭物流园区金元煤厂,116.559204,39.810831,煤炭,34,2022-02-12T00:00:00.000+08:00,2022-06-13T23:59:59.000+08:00,470
WTD202202230083,准东开发区西黑山产业园红沙泉煤矿,90.247506,44.538997,毛家皂镇里八庄站,113.190644,39.900567,粉煤,999999,2022-02-23T00:00:00.000+08:00,2022-09-30T00:00:00.000+08:00,450
WTD202202240347,将军庙将军戈壁2号特变二矿,90.155675,44.785029,毛家皂镇里八庄站,113.190644,39.900567,粉煤,999999,2022-02-23T00:00:00.000+08:00,2022-09-30T00:00:00.000+08:00,500
